domain	algae	algae	458	44	30	[set(['atpH', 'atpF']), set(['psbL', 'psbF', 'psbJ']), set(['rps12', 'rps7']), set(['rpl14', 'rps19', 'rpl5', 'rpl23', 'rpl16', 'rps8', 'rpl2', 'rpoA', 'rpl36']), set(['psbB', 'psbH', 'psbT']), set(['atpB']), set(['rps18']), set(['atpA']), set(['rbcL']), set(['rps14']), set(['rps2']), set(['psaB']), set(['rps11']), set(['petB']), set(['psaA']), set(['psbE']), set(['psbK']), set(['rpl20']), set(['psbC']), set(['atpE']), set(['rpoC1']), set(['petG']), set(['petD']), set(['rps3']), set(['rpoC2']), set(['psbI']), set(['atpI']), set(['psbN']), set(['rps4']), set(['psbD'])]
class	Cryptophyceae	algae;Cryptophyceae	9	117	6	[set(['psbA', 'psaK', 'rpl34', 'rps6', 'rbcR', 'minD', 'secA', 'ycf35', 'rpl32', 'minE', 'ccs1', 'ycf46', 'psaC', 'ccsA', 'psbY']), set(['rpl27', 'rpl21']), set(['atpD', 'rpl35', 'rpl20', 'rpl3', 'psbT', 'psbK', 'rpl14', 'rps20', 'rpl24', 'rps12', 'rpl6', 'rps14', 'rps2', 'rps9', 'ilvB', 'rpoC2', 'rpl5', 'rps13', 'rpl2', 'rps19', 'ftsH', 'tatC', 'petF', 'petA', 'psbH', 'rps10', 'ycf3', 'rpl33', 'atpE', 'atpB', 'psaD', 'infB', 'rpl23', 'rpl36', 'rpl16', 'atpI', 'psaA', 'rpl13', 'rpoA', 'rps5', 'dnaK', 'petG', 'rps7', 'rpl29', 'rps17', 'atpA', 'secY', 'psbN', 'tufA', 'atpH', 'psaE', 'ycf33', 'rpl4', 'rps18', 'rpl22', 'rpl18', 'atpF', 'rps3', 'rps11', 'atpG', 'psbB', 'psaB', 'rpoB', 'rpoC1', 'petN', 'rps8', 'psbZ']), set(['psaI', 'rps4', 'ycf39', 'psbX', 'psaL', 'psaJ', 'psbF', 'rbcL', 'psbL', 'psbV', 'petL', 'psbE', 'cemA', 'ycf4', 'psbI', 'psaF', 'ilvH', 'psaM', 'psbJ', 'ycf12', 'ftrB', 'ycf37']), set(['rpl11', 'rpl19', 'clpC', 'rpl1', 'rpl12', 'petD', 'petB']), set(['psbC', 'psbD', 'rps16', 'groEL'])]
phylum	Discoba	algae;Discoba	6	58	3	[set(['mat2', 'ycf13', 'chlI', 'psbD', 'psbC', 'psbA']), set(['rpl20', 'psbK', 'rpl14', 'rps12', 'rps14', 'rps2', 'rps9', 'psaC', 'rpl5', 'psaJ', 'psbF', 'rpl2', 'rbcL', 'rps19', 'psbL', 'rpl32', 'psbE', 'rpl12', 'rpl23', 'rpl36', 'rpl16', 'atpI', 'ycf4', 'psbI', 'psaA', 'rpoA', 'psbJ', 'psaM', 'petG', 'rps7', 'atpA', 'tufA', 'atpH', 'rps18', 'rpl22', 'atpF', 'rps3', 'psaB', 'rps8', 'psbZ']), set(['psbT', 'psbH', 'rps11', 'rps4', 'psbB', 'rpoB', 'rpoC1', 'atpE', 'atpB', 'rpoC2', 'psbN', 'petB'])]
class	Glaucocystophyceae	algae;Glaucocystophyceae	3	89	4	[set(['rbrA', 'rpoA', 'psbK', 'psaM', 'bioY', 'petA', 'psbC', 'psbD', 'rps11', 'atpE', 'atpB', 'rpl36', 'rps13', 'psbX']), set(['ftsQ', 'rps6', 'trpG', 'cpcA', 'cpcB', 'rbcR', 'ccsA']), set(['atpD', 'rpl35', 'rpl20', 'rpl14', 'rps20', 'preA', 'rbcS', 'apcB', 'chlI', 'psaI', 'rps12', 'rpl6', 'rpl7/12', 'rps14', 'rps4', 'rpoC2', 'rpl5', 'ycf39', 'psaJ', 'psbF', 'rpl2', 'rbcL', 'rps19', 'psbL', 'groEL', 'petF', 'rps10', 'petL', 'psbH', 'ycf3', 'ycf48', 'psbE', 'rpl33', 'apcA', 'rpl16', 'ycf4', 'psbW', 'hemA', 'psbI', 'ycf29', 'psaA', 'ycf49', 'psaF', 'psbJ', 'apcE', 'rps5', 'ycf12', 'rps7', 'rps17', 'atpA', 'secY', 'psbN', 'tufA', 'atpH', 'psaE', 'chlB', 'rpl22', 'rpl18', 'atpF', 'rps3', 'nadA', 'rpoB', 'ycf38', 'psaB', 'rpoC1', 'petN', 'rps8']), set(['petD'])]
phylum	Haptophyta	algae;Haptophyta	11	74	20	[set(['atpD', 'psaF', 'atpF', 'atpG', 'rpoB', 'rpoC1', 'atpA', 'rps2', 'rpoC2', 'atpI']), set(['psaI', 'ccsA']), set(['psbF', 'rps16', 'psbL', 'minD', 'chlI', 'psbE', 'rps14']), set(['rpl14', 'rps12', 'rpl6', 'rps9', 'rpl5', 'rps13', 'rpl2', 'rps19', 'psbV', 'rps10', 'psaD', 'rpl36', 'rpl23', 'rpl16', 'rpoA', 'rpl31', 'rps5', 'dnaK', 'rps7', 'rps17', 'secY', 'tufA', 'rpl22', 'rps3', 'rps11', 'rps8']), set(['petD', 'rbcS', 'rbcL', 'petB']), set(['rps4', 'rpl27']), set(['atpB', 'psbK', 'psbZ', 'atpE']), set(['rpl33', 'groEL', 'rps18', 'petA']), set(['petN', 'petM']), set(['psaA', 'psaB']), set(['psbB', 'psbH']), set(['rps6']), set(['rpl20']), set(['rpl19']), set(['secA']), set(['clpC']), set(['psbC']), set(['psaC']), set(['psbA']), set(['psaL'])]
phylum	Rhodophyta	algae;Rhodophyta	149	128	61	[set(['psaF', 'psaJ', 'apcD']), set(['psbV', 'petJ']), set(['rpl27', 'rpl21']), set(['rpl11', 'rpl1', 'rpl12', 'petD', 'petB']), set(['rpl3', 'rpl14', 'rpl24', 'rps12', 'rpl6', 'rps9', 'rpl5', 'rps13', 'rpl2', 'rps19', 'petF', 'rps10', 'rpl23', 'rpl36', 'rpl16', 'rpl13', 'rpoA', 'rpl31', 'rps5', 'rps7', 'rps17', 'secY', 'tufA', 'rpl4', 'rpl18', 'rps3', 'rps11', 'rps8']), set(['psaA', 'psaB']), set(['psaE', 'psbH']), set(['psbC', 'psbD']), set(['psbK', 'psbZ']), set(['psbT', 'psbN']), set(['atpH', 'rpoC2', 'atpD', 'rps20', 'tsf', 'atpF', 'apcB', 'rps2', 'atpG', 'rpoB', 'atpA', 'rpoC1', 'apcA', 'atpI']), set(['rps18', 'petA', 'rpl33', 'atpE', 'atpB', 'infB']), set(['chlI', 'trpA']), set(['cpcB', 'cpcA']), set(['gltB', 'psaC']), set(['ilvH', 'rbcL', 'rbcS']), set(['psbL', 'psbJ', 'psbF', 'psbE']), set(['rpl35', 'rpl20']), set(['rpl19']), set(['preA']), set(['psaI']), set(['rps4']), set(['rps14']), set(['ilvB']), set(['psaK']), set(['ycf39']), set(['psbY']), set(['psbX']), set(['psaL']), set(['rpl28']), set(['ftsH']), set(['rps6']), set(['thiG']), set(['rps16']), set(['apcF']), set(['ycf19']), set(['groEL']), set(['clpC']), set(['secA']), set(['rpl32']), set(['ycf3']), set(['acpP']), set(['cemA']), set(['psaD']), set(['trpG']), set(['ycf4']), set(['dnaB']), set(['carA']), set(['psbI']), set(['rpl9']), set(['apcE']), set(['dnaK']), set(['psaM']), set(['petG']), set(['ftrB']), set(['cpcG']), set(['ycf38']), set(['petN']), set(['psbA']), set(['rps1']), set(['infC'])]
class	Bangiophyceae	algae;Rhodophyta;Bangiophyceae	6	163	2	[set(['pgmA', 'cpcA', 'chlI', 'psaI', 'trpA', 'cpeB', 'psaC', 'psaK', 'psbF', 'rps6', 'thiG', 'psbL', 'ycf21', 'secA', 'psbE', 'ccsA', 'trpG', 'ycf22', 'ycf23', 'accA', 'psbJ', 'psaM', 'ftrB', 'cpeA', 'gltB', 'cpcG', 'ccs1', 'cpcB']), set(['atpD', 'rpl3', 'rpl14', 'rne', 'rpl19', 'rps14', 'rps9', 'rpoC2', 'rps19', 'petF', 'rpl33', 'atpB', 'rpl36', 'argB', 'rpl9', 'petJ', 'rpl13', 'rpl11', 'apcE', 'ycf35', 'odpB', 'atpH', 'psaE', 'rpl22', 'rpl1', 'atpG', 'rpl27', 'rpoB', 'psbT', 'rps20', 'rpl24', 'rps12', 'rps4', 'petD', 'psbX', 'ycf34', 'ftsH', 'apcF', 'rps10', 'petA', 'psbH', 'fabH', 'ycf19', 'rpl12', 'infB', 'rpl16', 'atpI', 'psbW', 'dnaB', 'syh', 'rpl34', 'rpoA', 'rpl31', 'dnaK', 'petG', 'rps17', 'ycf20', 'rpl21', 'secY', 'accB', 'psbN', 'ycf33', 'chlB', 'rps18', 'rps11', 'apcD', 'psbZ', 'cbbX', 'rps1', 'glnB', 'rpl35', 'psbK', 'apcB', 'psbD', 'rpl6', 'ycf39', 'psaL', 'rpl2', 'rps16', 'groEL', 'clpC', 'rpl32', 'ycf3', 'atpE', 'rpl23', 'ycf4', 'carA', 'psbI', 'psaA', 'ycf17', 'rbcR', 'chlL', 'tufA', 'rpl4', 'rpl18', 'atpF', 'ycf38', 'psaB', 'rpoC1', 'petN', 'ycf37', 'psbA', 'rps8', 'rpl20', 'rps2', 'ilvB', 'rpl5', 'chlN', 'odpA', 'petB', 'rpl28', 'psaJ', 'rps13', 'rbcL', 'tatC', 'psbV', 'acpP', 'pbsA', 'trxA', 'cemA', 'psaD', 'apcA', 'accD', 'psaF', 'ilvH', 'rps5', 'psbC', 'rps7', 'atpA', 'ycf46', 'ycf36', 'syfB', 'rps3', 'tsf', 'infC'])]
class	Compsopogonophyceae	algae;Rhodophyta;Compsopogonophyceae	7	164	5	[set(['carA', 'petJ', 'psaF', 'ycf53', 'psaM', 'psbV', 'fabH', 'psbC', 'psbD', 'ycf52', 'ycf46', 'trpG']), set(['ycf3', 'rpl3', 'psbK', 'rpl14', 'cpcA', 'rbcS', 'rpl24', 'psaI', 'rps12', 'rpl6', 'rps4', 'rps9', 'ilvB', 'rpl5', 'rps13', 'odpA', 'ycf39', 'rpl28', 'rpl2', 'rps19', 'psbA', 'rbcL', 'tatC', 'rps16', 'thiG', 'groEL', 'petF', 'petA', 'clpC', 'petL', 'acpP', 'rps10', 'rpl33', 'secA', 'ycf19', 'trxA', 'atpE', 'atpB', 'psaD', 'infB', 'rpl23', 'rpl36', 'ycf55', 'rpl16', 'dnaB', 'psbI', 'rpl9', 'rpl13', 'rpoA', 'rpl31', 'ilvH', 'rps5', 'ycf35', 'odpB', 'rps7', 'rpl29', 'rps17', 'ftrB', 'secY', 'ycf65', 'ycf36', 'tufA', 'ycf33', 'rpl4', 'rps18', 'syfB', 'rpl18', 'rps3', 'rps11', 'ycf37', 'cpcB', 'rps8', 'psbZ', 'cbbX']), set(['psbF', 'rpl35', 'rpl20', 'psbJ', 'psbL', 'acsF', 'apcF', 'psbE', 'pbsA', 'ycf20', 'bas1']), set(['atpD', 'pgmA', 'rpl19', 'rps20', 'apcB', 'rps14', 'rps2', 'cpeB', 'petD', 'rpoC2', 'ntcA', 'thiS', 'petB', 'psaL', 'ycf34', 'ftsH', 'nblA', 'rpl12', 'cemA', 'apcA', 'atpI', 'psbW', 'syh', 'psaA', 'rpl11', 'apcE', 'dnaK', 'rpoZ', 'atpA', 'cpeA', 'atpH', 'cpcG', 'atpF', 'tsf', 'rpl1', 'atpG', 'rpoB', 'psaB', 'rpoC1', 'ycf38', 'petN', 'rps1', 'infC']), set(['psbT', 'rne', 'preA', 'ycf54', 'chlI', 'trpA', 'psaC', 'psaK', 'psbY', 'rps6', 'mntB', 'psbH', 'rpl32', 'mntA', 'ycf4', 'ycf23', 'rpl34', 'rpl21', 'rbcR', 'psbN', 'psaE', 'rpl27', 'ccs1', 'ccsA'])]
class	Cyanidiophyceae	algae;Rhodophyta;Cyanidiophyceae	7	139	10	[set(['argB', 'dnaK']), set(['ilvB', 'ycf82']), set(['psbW', 'dnaB', 'ycf17', 'rps16', 'rpl11', 'rpl19', 'groEL', 'clpC', 'rpl1', 'rpl12', 'petD', 'ntcA', 'petB']), set(['psbC', 'psbD', 'ycf19']), set(['psaK', 'cpcG', 'accA', 'rps6', 'thiG', 'trpG', 'apcF', 'secA', 'cpcA', 'cpcB', 'ccs1', 'gltB', 'psaC', 'ccsA']), set(['carA', 'ycf53', 'ycf54', 'cobA', 'rpl21', 'rbcR', 'ycf55']), set(['psaE', 'ftsH', 'psbT', 'psbH', 'acpP', 'psbB', 'accB', 'psbN']), set(['lpxA', 'rbcS', 'apcB', 'chlI', 'rps4', 'trpA', 'rpl28', 'psaJ', 'rbcL', 'psbV', 'apcA', 'petJ', 'accD', 'psaF', 'ilvH', 'psaM', 'cbbX', 'apcD', 'infC']), set(['rpl35', 'rpl20', 'rpl3', 'psbK', 'rpl14', 'preA', 'rps12', 'rpl6', 'rps14', 'rps9', 'rpl5', 'rps13', 'odpA', 'rpl2', 'rps19', 'tatC', 'petF', 'petA', 'rps10', 'hisH', 'psaD', 'rpl23', 'rpl36', 'rpl16', 'psaA', 'rpl13', 'rpoA', 'rpl31', 'rps5', 'apcE', 'odpB', 'petG', 'rps7', 'rpl29', 'rps17', 'secY', 'tufA', 'rpl4', 'rpl22', 'rpl18', 'rps3', 'rps11', 'psaB', 'petN', 'rps8']), set(['atpD', 'psaI', 'rps2', 'ycf39', 'psaL', 'psbF', 'psbL', 'ycf3', 'psbE', 'rpl33', 'atpE', 'cemA', 'atpB', 'atpI', 'ycf4', 'psbI', 'ycf49', 'psbJ', 'atpA', 'ftrB', 'atpH', 'atpF', 'tsf', 'atpG', 'rpoB', 'rpoC1'])]
class	Florideophyceae	algae;Rhodophyta;Florideophyceae	115	149	4	[set(['ycf53', 'rne', 'ycf54', 'psbY', 'psbX', 'psaJ', 'rps6', 'thiG', 'psbV', 'fabH', 'rpl32', 'ycf52', 'trpG', 'ycf55', 'carA', 'petJ', 'accD', 'rpl21', 'ycf60', 'rpl27', 'apcD', 'psbA']), set(['psaA', 'psbK', 'dnaK', 'ycf45', 'acpP', 'petG', 'rps14', 'psaB', 'psaD', 'accB', 'psbZ']), set(['rpl3', 'psbT', 'rpl14', 'rpl19', 'psbD', 'rpl24', 'rps12', 'rpl6', 'rps9', 'petD', 'ilvB', 'ntcA', 'rpl5', 'rps13', 'petB', 'rpl2', 'rps19', 'ftsH', 'rps16', 'groEL', 'petF', 'rps10', 'clpC', 'psbH', 'ycf19', 'rpl12', 'rpl23', 'rpl36', 'rpl16', 'argB', 'dnaB', 'rpl9', 'rpl13', 'rpoA', 'rpl31', 'rpl11', 'rps5', 'psbC', 'rps7', 'rps17', 'secY', 'psbN', 'tufA', 'psaE', 'rpl4', 'syfB', 'rpl18', 'rps3', 'rpl1', 'rps11', 'psbB', 'ycf38', 'rps8', 'rps1']), set(['atpD', 'rpl35', 'rpl20', 'rps20', 'preA', 'cpcA', 'rbcS', 'chlI', 'apcB', 'psaI', 'rps4', 'trpA', 'rps2', 'cpeB', 'psaC', 'rpoC2', 'psaK', 'ycf39', 'psaL', 'rpl28', 'psbF', 'rbcL', 'nblA', 'psbL', 'apcF', 'secA', 'petA', 'ycf3', 'psbE', 'rpl33', 'trxA', 'atpE', 'cemA', 'atpB', 'apcA', 'infB', 'ycf22', 'bas1', 'atpI', 'ycf4', 'psbI', 'accA', 'psbJ', 'ilvH', 'psaM', 'apcE', 'ftrB', 'cpeA', 'gltB', 'atpA', 'ycf36', 'atpH', 'cpcG', 'rps18', 'atpF', 'tsf', 'atpG', 'rpoB', 'rpoC1', 'petN', 'cpcB', 'infC'])]
